interferometer_phase_error,global_seed,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve
0.0,20260805,0.030453236,0.0008467981478023545,0.00037869964434139575,0.007468,0.00019473058311420962,8.708616422830908e-05,0.007375999999999999,0.0005943736198722151,0.00026581196361337856,516467.49118088686,0.0,0.0,116414.44389762485,4121.734927280884,1843.2958965270418,0.028111499996,0.1599142738885858,0.132222,0.0012910731969954239,0.0005773854864819489,0.5903074391006216,0.006411616083708393,0.0028673618817605896,25,5,0.0,0.0,0.0,0.007484,0.00034333656956403566,0.0001535447817413538,0.007616,0.0004779958158812694,0.00021376622745419838,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13213599999999998,0.00044696756034414174,0.00019988996973334803,0.018905059733241008,0.012725974189255244,0.0056912286734165,25,5
0.01,20260805,0.0324152522,0.0006376422939005075,0.0002851623028980868,0.007384,0.0002847455004034302,0.00012734205903785275,0.006768000000000001,0.0007453321407265358,0.00033332266649599467,509800.82451288693,14907.119852980002,6666.666667999991,121428.8639401972,4646.462473698932,2077.961189218528,0.028111499996,0.1599142738885858,0.132644,0.0009936699653305325,0.00044438271793578596,0.6016019540915056,0.0025311415181560088,0.0011319608990537707,25,5,0.0,0.0,0.0,0.007036000000000001,0.0003198124450361493,0.000143024473430249,0.007039999999999999,0.0007332121111929345,0.0003279024245107072,509800.8245128868,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.132398,0.0019089447346636193,0.0008537060383996303,0.01746228696856308,0.011695808464545527,0.005230524555708247,25,5
0.1,20260805,0.0308992842,0.0019404220520659165,0.0008677831226918051,0.007508000000000001,0.0005031103258729639,0.00022499777776680368,0.007279999999999999,0.00041569219381653054,0.000185903200617956,509800.82451288693,14907.119852980002,6666.666667999991,115666.9201438155,8430.444676299954,3770.209475351581,0.028111499996,0.1599142738885858,0.132802,0.0006592192351562599,0.0002948118043769632,0.5922075771726698,0.013117035754452862,0.005866116722050368,25,5,0.0,0.0,0.0,0.00726,0.0003690528417449194,0.00016504544828622238,0.007711999999999999,0.0005294525474487774,0.00023677837739117982,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13286799999999999,0.0013489514446413577,0.000603269425712924,0.0038543114268976392,0.004791604276127201,0.0021428705765398188,25,5
0.2,20260805,0.030039740800000003,0.0010758313378986051,0.0004811264007731653,0.007135999999999999,0.00023168944732119363,0.0001036146707759091,0.007488,0.0008051832089655128,0.00036008887791766093,509800.82451288693,14907.119852980002,6666.666667999991,113132.85209290162,1529.228332818032,683.8917010599583,0.028111499996,0.1599142738885858,0.132118,0.0007848694158903111,0.00035100427347825786,0.5877839946928486,0.01109387117535269,0.004961330016342821,25,5,0.0,0.0,0.0,0.00756,0.0001643167672515496,7.348469228349524e-05,0.008,0.0006669332800213233,0.00029826163011691624,489800.8245088869,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13135599999999997,0.001036305939382756,0.00046345010518932374,0.01210072122925273,0.011982928951716312,0.005358928741117593,25,5
0.3,20260805,0.0278976636,0.0020226999246764953,0.0009045789059320696,0.00728,0.00022583179581272422,0.00010099504938362073,0.006927999999999999,0.0006987989696615188,0.00031251239975399383,503134.15784488694,18257.418587156997,8164.965810910243,103609.44910653641,8786.404114565748,3929.3993755905726,0.028111499996,0.1599142738885858,0.132526,0.0013652215937348707,0.0006105456575883544,0.5664937732947929,0.016244573345274866,0.007264794053103152,25,5,0.0,0.0,0.0,0.007524,0.0005415533214744422,0.00024219000805152986,0.007344000000000001,0.0013872562849019648,0.0006203998710509216,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13248600000000002,0.0012735501560598265,0.0005695489443410475,0.0026271405226275836,0.0040498452353608695,0.0018111458489241078,25,5
0.4,20260805,0.025119846600000002,0.001395436034968746,0.0006240579664885779,0.007132000000000001,0.00037029717795305963,0.00016560193235587556,0.007056,0.0004944491884915982,0.00022112439937736403,496467.49117688683,18257.418587156997,8164.965810910243,92119.2667590316,4012.3284925973,1794.3678515013648,0.028111499996,0.1599142738885858,0.132178,0.0003542174473399074,0.000158410858213697,0.5458623118607262,0.009082860869396862,0.004061978866828844,25,5,0.0,0.0,0.0,0.007456,0.0002547155275989279,0.00011391224692718531,0.007216,0.0005040634880647476,0.0002254240448576859,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.132124,0.0007264846866934043,0.00032489382881181777,0.014235100533029288,0.00730264535089672,0.003265842284035574,25,5
0.5,20260805,0.022515879800000003,0.0011727498597116524,0.0005244696813837193,0.007607999999999999,0.00043968170305347024,0.00019663163529808726,0.0076,0.0006400000000000005,0.0002862167011199733,516467.49118088686,0.0,0.0,85836.62790895547,4852.9000114417995,2170.282862718674,0.028111499996,0.1599142738885858,0.132292,0.0010061908367700507,0.00044998222187104565,0.5280142168470531,0.012360234462895631,0.0055276648953740464,25,5,0.0,0.0,0.0,0.007348,0.00034252007240452326,0.00015317963311093277,0.00712,0.0008019975062305371,0.0003586641883433584,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.131664,0.0006183688219824818,0.0002765429442238591,0.0034303615310330464,0.003893203580899648,0.0017410935714274429,25,5
0.6,20260805,0.0175042432,0.002718348792474893,0.001215682537305666,0.007515999999999999,0.000503467973162146,0.00022515772249691963,0.007984,0.0010436857764672283,0.0004667504686660745,509800.82451288693,14907.119852980002,6666.666667999991,65790.26979544174,11353.868418775079,5077.6043183938245,0.028111499996,0.1599142738885858,0.13319,0.0008194205269579254,0.000366456000087324,0.48910960474344245,0.01723017276325133,0.007705567512539072,25,5,0.0,0.0,0.0,0.007724,0.00012992305415129418,5.8103356185336e-05,0.007984,0.000945558036293913,0.0004228664091648805,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.131958,0.0007107531216955758,0.0003178584590662976,0.022570413428781178,0.016372876573130947,0.007322173000946921,25,5
0.7,20260805,0.0166621346,0.0012632788875950147,0.0005649554934405537,0.007344000000000001,0.0003697025831665233,0.0001653360214835231,0.007392,0.0006364903769893152,0.0002846471499945153,496467.49117688683,18257.418587156997,8164.965810910243,61505.464679278535,4760.880240775117,2129.1303702217456,0.028111499996,0.1599142738885858,0.13138200000000003,0.0010949520537448223,0.0004896774448552852,0.4808680163698977,0.008314438395345649,0.0037183298893454283,25,5,0.0,0.0,0.0,0.0072840000000000005,0.0003628773897613358,0.00016228370220080658,0.007520000000000001,0.000917387595294377,0.00041026820495865864,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.131498,0.00031523007470735375,0.00014097517511959601,0.008769276353032743,0.008864396356525197,0.00396427856653836,25,5
0.8,20260805,0.0104505866,0.0013134869160875953,0.000587409206385685,0.007299999999999999,0.00035972211497209877,0.00016087262041752153,0.007167999999999999,0.0007366953237261658,0.00032946016451158405,509800.82451288693,14907.119852980002,6666.666667999991,40039.04217908091,4868.835976319148,2177.409642869234,0.028111499996,0.1599142738885858,0.132156,0.0010061958059940437,0.0004499844441755744,0.4290559077092844,0.007212625609982419,0.0032255842320353147,25,5,0.0,0.0,0.0,0.007687999999999999,0.0003645819523783368,0.00016304600577751044,0.008,0.0006374950980203686,0.00028509647489928714,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13191800000000004,0.001218634481704825,0.0005449899081634425,0.011584397661694192,0.011078250492627234,0.004954344234657005,25,5
