hour,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
0,0.2732,0.0,1104057.4114729483,0.009057499996,0.1597065680820472,0.2732,0.1343,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1343,0.11520497807962882,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.12945,0.9760609357997824,0.0,0.2235,1104057.4114729483,0.009057499996,0.1597065680820472,0.2772,0.0,0.3204,865239.022729088,0.011557499994,0.1597065680820472,0.1949,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1294,0.0021008403361344537,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
1,0.2679,0.0,1104057.4114729483,0.009057499996,0.1597065680820472,0.2679,0.1343,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1343,0.11885334152971708,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13195,0.9846153846153847,0.0,0.2261,1104057.4114729483,0.009057499996,0.1597065680820472,0.2705,0.0,0.3133,865239.022729088,0.011557499994,0.1597065680820472,0.1948,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13145,0.00966702470461869,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
2,0.27478806391918553,0.0001,1104057.4114729483,0.009057499996,0.1597065680820472,0.2756,0.1324,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1324,0.11989584427977619,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1322,0.989517819706499,0.0,0.226,1104057.4114729483,0.009057499996,0.1597065680820472,0.2727,0.0,0.3111,865239.022729088,0.011557499994,0.1597065680820472,0.1952,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.12985,0.0010090817356205853,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
3,0.2722,0.0,1104057.4114729483,0.009057499996,0.1597065680820472,0.2722,0.13739403195959277,0.0001,711364.0409525813,0.014057499992,0.1597065680820472,0.1378,0.11751834123438584,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1311,0.9811715481171548,0.0,0.2254,1104057.4114729483,0.009057499996,0.1597065680820472,0.268,0.0,0.319,970167.3543391547,0.010307499995,0.1597065680820472,0.1952,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1296,0.04670912951167728,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
4,0.26870603492823114,0.0001,1104057.4114729483,0.009057499996,0.1597065680820472,0.2695,0.1404,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1404,0.11912046916275827,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1313,0.9897645854657113,0.0,0.2266,1104057.4114729483,0.009057499996,0.1597065680820472,0.2766,0.0,0.3091,865239.022729088,0.011557499994,0.1597065680820472,0.1971,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13265,0.014583333333333334,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
5,0.2748,0.0,1104057.4114729483,0.009057499996,0.1597065680820472,0.2748,0.1379,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1379,0.11654222412183049,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13055,0.9782372143634385,0.0,0.2248,1104057.4114729483,0.009057499996,0.1597065680820472,0.2717,0.0,0.3042,865239.022729088,0.011557499994,0.1597065680820472,0.1971,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1334,0.0,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
6,0.2609,0.0,1104057.4114729483,0.009057499996,0.1597065680820472,0.2609,0.1388,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1388,0.12072930884452374,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13315,0.9893503727369543,0.0,0.2275,1104057.4114729483,0.009057499996,0.1597065680820472,0.2716,0.0,0.3139,865239.022729088,0.011557499994,0.1597065680820472,0.2025,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1298,0.0,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
7,0.2629376686684927,0.0025,1104057.4114729483,0.009057499996,0.1597065761074148,0.2769,0.12337445250060827,0.005,711364.0409525813,0.014057499992,0.1597065761074148,0.1357,0.11967546238239153,0.0011,415670.78880443453,0.024057499996,0.1597065761074148,0.13385,0.9891774891774892,0.0,0.2259,1104057.4114729483,0.009057499996,0.1597065761074148,0.2783,0.0,0.3116,865239.022729088,0.011557499994,0.1597065761074148,0.1984,0.0,0.0012,415670.78880443453,0.024057499996,0.1597065761074148,0.13525,0.04658721560130011,760574.0836273732,0.010416666666666666,1229600.0,0.006284,0.1597065761074148,0.1537,465691.95776905544,0.006097560975609756,524800.0,0.006284,0.1597065761074148,0.0656,-2.7746982070844557,0.0,0.20689655172413793,1206400.0,0.006284,0.1597065761074148,0.1508,0.0,0.2507462686567164,536000.0,0.006284,0.1597065761074148,0.067,-1.384983394081287
8,0.20828044834137868,0.0147,1104057.4114729483,0.009057499996,0.1597065761074148,0.2674,0.09066380842412058,0.0271,711364.0409525813,0.014057499992,0.1597065761074148,0.1415,0.10809330264122065,0.0084,415670.78880443453,0.024057499996,0.1597065761074148,0.1316,0.9771784232365145,0.0,0.2336,1104057.4114729483,0.009057499996,0.1597065761074148,0.2762,0.0,0.3142,970167.3543391547,0.010307499995,0.1597065761074148,0.2077,0.0,0.0075,415670.78880443453,0.024057499996,0.1597065761074148,0.1297,0.040525739320920046,566140.0324392542,0.03170731707317073,1314400.0,0.006284,0.1597065761074148,0.1643,292071.25454696734,0.037037037037037035,561600.0,0.006284,0.1597065761074148,0.0702,-2.57537422065404,0.0,0.2426470588235294,1307200.0,0.006284,0.1597065761074148,0.1634,0.0,0.2689655172413793,580000.0,0.006284,0.1597065761074148,0.0725,-1.3100322490254497
9,0.2083417085351022,0.0158,1104057.4114729483,0.009057499996,0.1597065761074148,0.2721,0.07883556383800432,0.0379,780792.5048187037,0.012807499993,0.1597065761074148,0.1474,0.10797906182142307,0.0091,415670.78880443453,0.024057499996,0.1597065761074148,0.1312,0.9822616407982262,0.0,0.2316,1104057.4114729483,0.009057499996,0.1597065761074148,0.2798,0.0,0.3191,970167.3543391547,0.010307499995,0.1597065761074148,0.2001,0.0,0.0089,415670.78880443453,0.024057499996,0.1597065761074148,0.1284,0.0,276166.47565651435,0.0645933014354067,1340000.0,0.006284,0.1597065761074148,0.1675,259398.23855224787,0.044382801664355064,576800.0,0.006284,0.1597065761074148,0.0721,-2.4386761811439,0.0,0.27710843373493976,1329600.0,0.006284,0.1597065761074148,0.1662,0.0,0.28125,588800.0,0.006284,0.1597065761074148,0.0736,-1.2183918758938963
