distance,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
100,0.24425702059634724,0.0161,1105888.85865895,0.009042499996,0.02472314510799356,0.3205,0.09881282692331592,0.0305,781708.0324777765,0.012792499993,0.02472314510799356,0.163,0.12927604199257678,0.0115,415930.12380841095,0.024042499996,0.02472314510799356,0.1491,0.9771615008156607,0.0,0.2306,1105888.85865895,0.009042499996,0.02472314510799356,0.3213,0.0,0.3264,971581.2489538894,0.010292499995,0.02472314510799356,0.2357,0.0,0.0109,415930.12380841095,0.024042499996,0.02472314510799356,0.15075,0.0425531914893617,0.08204198117284633,0.0442,1310968.2116227467,0.007627950023,0.02492395510761647,0.1718,0.0461876154364632,0.0455,786580.9269324008,0.012713250039,0.02492395510761647,0.0991,-2.6006484864060453,0.0,0.2509,1310968.2116227467,0.007627950023,0.02492395510761647,0.1664,0.0,0.2489,715073.5699334329,0.013984575043,0.02492395510761647,0.0978,-1.3876805875533054
200,0.2164110258078005,0.0203,1105583.1956243597,0.009044999996,0.048643149172625466,0.3032,0.09631258282784548,0.0307,781555.2954647039,0.012794999993,0.048643149172625466,0.1594,0.125867656797883,0.0106,415886.8788381596,0.024044999996,0.048643149172625466,0.1438,0.988013698630137,0.0,0.2328,1105583.1956243597,0.009044999996,0.048643149172625466,0.3155,0.0,0.3169,971345.3137306194,0.010294999995,0.048643149172625466,0.2253,0.0,0.0099,415886.8788381596,0.024044999996,0.048643149172625466,0.1459,0.0,0.07498910549012941,0.0456,1309474.700278536,0.0076366500229999995,0.048837690829042546,0.1612,0.04933225091902161,0.0433,714258.9273821422,0.014000525043,0.048837690829042546,0.1016,-2.590041121629287,0.0,0.2506,1122406.8859320343,0.008909425027,0.048837690829042546,0.1665,0.0,0.2502,714258.9273821422,0.014000525043,0.048837690829042546,0.0991,-1.3663789200463705
300,0.22124561640573825,0.0184,1105277.7015110373,0.009047499996,0.0719857174213836,0.3009,0.09205668862391861,0.0327,781402.6181261824,0.012797499993,0.0719857174213836,0.1575,0.12275222673825296,0.0094,415843.6428594812,0.024047499996,0.0719857174213836,0.1424,0.9805481874447391,0.0,0.2406,1105277.7015110373,0.009047499996,0.0719857174213836,0.3058,0.0,0.3143,971109.4930668169,0.010297499994999999,0.0719857174213836,0.2194,0.0,0.012,415843.6428594812,0.024047499996,0.0719857174213836,0.14195,0.034420289855072464,0.07096831205065968,0.0486,1121129.6468418618,0.008919575027,0.07217145519797596,0.1616,0.04208427775152404,0.0481,713446.1388702806,0.014016475043,0.07217145519797596,0.0949,-2.5610276975736133,0.0,0.2467,1121129.6468418618,0.008919575027,0.07217145519797596,0.1617,0.0,0.2449,713446.1388702806,0.014016475043,0.07217145519797596,0.0938,-1.4038823065269719
400,0.2191873635770636,0.0187,1104972.3761789934,0.009049999995999999,0.09477195679534833,0.2995,0.08729385973145833,0.0365,781250.0004272461,0.012799999993,0.09477195679534833,0.1593,0.11407951471791944,0.0114,415800.4158695718,0.024049999996,0.09477195679534833,0.13765,0.9736346516007532,0.0,0.2379,1104972.3761789934,0.009049999995999999,0.09477195679534833,0.2855,0.0,0.3198,970873.786879065,0.010299999995,0.09477195679534833,0.2201,0.0,0.0102,415800.4158695718,0.024049999996,0.09477195679534833,0.13845,0.0,0.07083244053794761,0.0492,1119855.3113073367,0.008929725027,0.09494395010152223,0.1632,0.03846376951680499,0.0476,712635.1980756489,0.014032425043,0.09494395010152223,0.0859,-2.5496151221520056,0.0,0.2527,1119855.3113073367,0.008929725027,0.09494395010152223,0.1639,0.0,0.2499,712635.1980756489,0.014032425043,0.09494395010152223,0.0952,-1.4133387269408686
500,0.21878032753745777,0.0175,1104667.2194883921,0.009052499996,0.11702701395872295,0.2934,0.07368857139547492,0.0414,781097.442332957,0.012802499993,0.11702701395872295,0.1466,0.11199610539833531,0.0115,415757.19786562846,0.024052499996,0.11702701395872295,0.1356,0.9804496578690127,0.0,0.2239,1104667.2194883921,0.009052499996,0.11702701395872295,0.2875,0.0,0.3234,970638.1950840272,0.010302499995,0.11702701395872295,0.2087,0.0,0.0133,415757.19786562846,0.024052499996,0.11702701395872295,0.13625,0.0,0.07065627492530067,0.0465,1118583.869438693,0.008939875027,0.1171756485689055,0.1545,0.04044524505056292,0.0508,711826.0987047596,0.014048375043,0.1171756485689055,0.0962,-2.4829041490125365,0.0,0.25,1118583.869438693,0.008939875027,0.1171756485689055,0.1525,0.0,0.2557,711826.0987047596,0.014048375043,0.1171756485689055,0.0953,-1.3990596994850848
600,0.19965794535418038,0.0214,1104362.2312995526,0.009054999996,0.13878528152250502,0.2846,0.07528185586022211,0.0413,780944.9438084041,0.012804999993,0.13878528152250502,0.1495,0.10818481269556986,0.0129,415713.9888448496,0.024054999996,0.13878528152250502,0.1345,0.9788806758183738,0.0,0.236,1104362.2312995526,0.009054999996,0.13878528152250502,0.2926,0.0,0.3196,970402.7175984486,0.010304999995,0.13878528152250502,0.2138,0.0,0.0124,415713.9888448496,0.024054999996,0.13878528152250502,0.13345,0.0,0.06549587551181338,0.0495,1117315.311391028,0.008950025027,0.1388911218726162,0.1518,0.037701723964296434,0.0512,651767.2649477569,0.015342900046999999,0.1388911218726162,0.0904,-2.5411288326320256,0.0,0.2479,1117315.311391028,0.008950025027,0.1388911218726162,0.1474,0.0,0.2557,651767.2649477569,0.015342900046999999,0.1388911218726162,0.092,-1.4073834896165245
700,0.18695412436176548,0.0233,1104057.4114729483,0.009057499996,0.1601003824220022,0.2746,0.07071322218902686,0.0431,780792.5048187037,0.012807499993,0.1601003824220022,0.1451,0.1054406941992458,0.0119,415670.78880443453,0.024057499996,0.1601003824220022,0.13195,0.978021978021978,0.0,0.2385,1104057.4114729483,0.009057499996,0.1601003824220022,0.2785,0.0,0.3188,970167.3543391547,0.010307499995,0.1601003824220022,0.2053,0.0,0.0135,415670.78880443453,0.024057499996,0.1601003824220022,0.12945,0.0,0.05702064253180199,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
800,0.1894924423950124,0.0227,1103752.7598692065,0.009059999996,0.1810633389280928,0.2757,0.06846770495234136,0.042,711237.5537475036,0.014059999992,0.1810633389280928,0.1377,0.09823388830000396,0.0151,415627.59774158394,0.024059999996,0.1810633389280928,0.12695,0.9818799546998868,0.0,0.2396,1103752.7598692065,0.009059999996,0.1810633389280928,0.2754,0.0,0.3219,969932.1052230515,0.010309999995,0.1810633389280928,0.2024,0.0,0.0118,415627.59774158394,0.024059999996,0.1810633389280928,0.1291,0.011547344110854504,0.05614019502652849,0.0543,1114786.8076018156,0.008970325027,0.18092072151305016,0.1435,0.03358119694012775,0.0545,650292.3044041867,0.015377700047,0.18092072151305016,0.0862,-2.5025742505788533,0.0,0.2515,1114786.8076018156,0.008970325027,0.18092072151305016,0.145,0.0,0.2538,650292.3044041867,0.015377700047,0.18092072151305016,0.0861,-1.3976366168554062
900,0.1808998845728471,0.0241,1103448.2763491082,0.009062499996,0.2018323142607148,0.2691,0.06517481155840384,0.0479,711111.1115156544,0.014062499992,0.2018323142607148,0.1464,0.09434791976998633,0.0134,415584.4156534998,0.024062499996,0.2018323142607148,0.1245,0.9689234184239733,0.0,0.2338,1103448.2763491082,0.009062499996,0.2018323142607148,0.2614,0.0,0.3193,864864.8653136597,0.011562499993999999,0.2018323142607148,0.2014,0.0,0.0124,415584.4156534998,0.024062499996,0.2018323142607148,0.12625,0.024553571428571428,0.05142607122951412,0.0569,974335.9870798745,0.010263400031,0.20136029919729181,0.139,0.029815006073050626,0.0597,649557.3246988201,0.015395100047,0.20136029919729181,0.0858,-2.4763351762522694,0.0,0.2643,974335.9870798745,0.010263400031,0.20136029919729181,0.1386,0.0,0.2591,649557.3246988201,0.015395100047,0.20136029919729181,0.0889,-1.3473787136342772
1000,0.171150390102487,0.0263,1103143.9607735882,0.009064999996,0.22267287418540538,0.2637,0.052703379822037544,0.0534,710984.7142330521,0.014064999992,0.22267287418540538,0.1322,0.09265997232423545,0.0143,344056.42531292903,0.029064999995,0.22267287418540538,0.1206,0.9901185770750988,0.0,0.2411,1103143.9607735882,0.009064999996,0.22267287418540538,0.2524,0.0,0.3219,864677.9079280646,0.011564999994,0.22267287418540538,0.1886,0.0,0.0144,344056.42531292903,0.029064999995,0.22267287418540538,0.1235,0.022132796780684104,0.04734351766167675,0.0601,973236.0067960763,0.010275000031,0.2215655297757585,0.1375,0.027994277107391108,0.0618,598914.4656982437,0.016696875051,0.2215655297757585,0.0846,-2.5017234210896033,0.0,0.2571,973236.0067960763,0.010275000031,0.2215655297757585,0.1376,0.0,0.2629,648824.0045096689,0.015412500047,0.2215655297757585,0.0845,-1.3176844957127043
