efficiency,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
0.1,0.022525478883898453,0.0426,316881.8824992918,0.031557499977999996,0.1601003824220022,0.0458,0.004773935826025197,0.0812,180807.3047491407,0.055307499959,0.1601003824220022,0.0255,0.01772564930812541,0.0153,83993.02859485408,0.11905749997699999,0.1601003824220022,0.0225,0.9857442348008386,0.0,0.2492,316881.8824992918,0.031557499977999996,0.1601003824220022,0.0461,0.0,0.3357,240630.45195738226,0.04155749997,0.1601003824220022,0.0341,0.0,0.0123,83993.02859485408,0.11905749997699999,0.1601003824220022,0.0212,0.021915584415584416,0.0,0.32432432432432434,116822.42990654206,0.001284,0.294568632392333,0.015,0.0,0.3150684931506849,56853.58255451713,0.001284,0.294568632392333,0.0073,-1.0205128205128204,0.0,0.3055555555555556,112149.53271028037,0.001284,0.294568632392333,0.0144,0.0,0.3888888888888889,42056.07476635514,0.001284,0.294568632392333,0.0054,-0.8503448275862069
0.2,0.04754061658512208,0.0388,561561.1403160001,0.017807499989,0.1601003824220022,0.0903,0.011011299137952648,0.0739,329951.3324071262,0.030307499979,0.1601003824220022,0.046,0.036064411161840414,0.0127,156109.74518008533,0.064057499988,0.1601003824220022,0.0453,0.9796795623290347,0.0,0.2456,524727.7977854772,0.019057499988,0.1601003824220022,0.0861,0.0,0.3282,438452.26379817096,0.022807499985,0.1601003824220022,0.068,0.0,0.0161,156109.74518008533,0.064057499988,0.1601003824220022,0.0443,0.06210691823899371,0.0,0.3384615384615385,204049.84423676014,0.001284,0.294568632392333,0.0262,0.0,0.2803738317757009,83333.33333333333,0.001284,0.294568632392333,0.0107,-1.4083892792089514,0.0,0.36619718309859156,221962.6168224299,0.001284,0.294568632392333,0.0285,0.0,0.3524590163934426,95015.57632398754,0.001284,0.294568632392333,0.0122,-0.6884762379528083
0.3,0.07478702197912712,0.0336,711364.0409525813,0.014057499992,0.1601003824220022,0.1299,0.021800163736234137,0.0647,438452.26379817096,0.022807499985,0.1601003824220022,0.0707,0.05161020278231399,0.0141,226976.1108055566,0.044057499991999996,0.1601003824220022,0.0651,0.983917288914417,0.0,0.2525,711364.0409525813,0.014057499992,0.1601003824220022,0.1403,0.0,0.3245,603955.9115832438,0.01655749999,0.1601003824220022,0.1035,0.0,0.0119,226976.1108055566,0.044057499991999996,0.1601003824220022,0.06225,0.0,0.0,0.2032520325203252,383177.57009345794,0.001284,0.294568632392333,0.0492,0.0,0.21800947867298578,164330.21806853582,0.001284,0.294568632392333,0.0211,-1.9341142051226086,0.0,0.34146341463414637,384735.2024922118,0.001284,0.294568632392333,0.0494,0.0,0.3140096618357488,161214.95327102803,0.001284,0.294568632392333,0.0207,-1.2180727652425765
0.4,0.10446847045020023,0.0315,865239.022729088,0.011557499994,0.1601003824220022,0.1752,0.03381519661565053,0.0585,561561.1403160001,0.017807499989,0.1601003824220022,0.0947,0.06816650834333753,0.0154,293621.0820454151,0.034057499994,0.1601003824220022,0.08775,0.977512297962052,0.0,0.2412,865239.022729088,0.011557499994,0.1601003824220022,0.179,0.0,0.3196,711364.0409525813,0.014057499992,0.1601003824220022,0.1311,0.0,0.0142,293621.0820454151,0.034057499994,0.1601003824220022,0.08575,0.05124450951683748,0.01506380696579517,0.08080808080808081,617601.246105919,0.001284,0.294568632392333,0.0793,0.0,0.12607449856733524,271806.8535825545,0.001284,0.294568632392333,0.0349,-2.0604285320928075,0.0,0.31521739130434784,574766.355140187,0.001284,0.294568632392333,0.0738,0.0,0.3674698795180723,258566.9781931464,0.001284,0.294568632392333,0.0332,-1.1197822438464624
0.5,0.1327709458525536,0.0294,970167.3543391547,0.010307499995,0.1601003824220022,0.2151,0.044543711050187555,0.0555,653274.5390089479,0.015307499991,0.1601003824220022,0.1168,0.08028636045825813,0.0141,344145.22934597696,0.029057499995,0.1601003824220022,0.1012,0.9843614248479583,0.0,0.2441,970167.3543391547,0.010307499995,0.1601003824220022,0.2198,0.0,0.3271,780792.5048187037,0.012807499993,0.1601003824220022,0.1577,0.0,0.014,344145.22934597696,0.029057499995,0.1601003824220022,0.1036,0.04021937842778794,0.0,0.11678832116788321,855919.0031152648,0.001284,0.294568632392333,0.1099,0.0070103902842999785,0.08840864440078586,396417.445482866,0.001284,0.294568632392333,0.0509,-2.339189162542149,0.0,0.28214285714285714,872274.1433021807,0.001284,0.294568632392333,0.112,0.0,0.26195426195426197,374610.5919003115,0.001284,0.294568632392333,0.0481,-1.0821343413639841
0.6,0.17783983662345237,0.0218,1104057.4114729483,0.009057499996,0.1601003824220022,0.2551,0.06835306361890428,0.043,711364.0409525813,0.014057499992,0.1601003824220022,0.14,0.0965485021837225,0.0139,344145.22934597696,0.029057499995,0.1601003824220022,0.12285,0.9774891774891775,0.0,0.2378,1104057.4114729483,0.009057499996,0.1601003824220022,0.2586,0.0,0.3267,865239.022729088,0.011557499994,0.1601003824220022,0.1962,0.0,0.0135,344145.22934597696,0.029057499995,0.1601003824220022,0.12035,0.01500441306266549,0.04644733167551962,0.064343163538874,1162772.585669782,0.001284,0.294568632392333,0.1493,0.017463675139572383,0.0712166172106825,524922.1183800623,0.001284,0.294568632392333,0.0674,-2.2963936947351975,0.0,0.257372654155496,1161993.769470405,0.001284,0.294568632392333,0.1492,0.0,0.27313432835820894,521806.8535825545,0.001284,0.294568632392333,0.067,-1.3169592296888812
0.7,0.20209431952016035,0.0231,1104057.4114729483,0.009057499996,0.1601003824220022,0.2959,0.08607565889665812,0.0381,780792.5048187037,0.012807499993,0.1601003824220022,0.1615,0.11251891938773788,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.141,0.984144960362401,0.0,0.2325,1104057.4114729483,0.009057499996,0.1601003824220022,0.3003,0.0,0.3157,970167.3543391547,0.010307499995,0.1601003824220022,0.2233,0.0,0.0147,415670.78880443453,0.024057499996,0.1601003824220022,0.14025,0.0,0.06443655005997456,0.06172839506172839,1514018.691588785,0.001284,0.294568632392333,0.1944,0.034655214191712094,0.053714285714285714,681464.1744548287,0.001284,0.294568632392333,0.0875,-2.5045975237676137,0.0,0.23958333333333334,1497663.5514018692,0.001284,0.294568632392333,0.1923,0.0,0.2759433962264151,660436.137071651,0.001284,0.294568632392333,0.0848,-1.312109640195246
0.8,0.25267687392385163,0.0188,1280819.725115909,0.007807499997,0.1601003824220022,0.3458,0.1034689627087547,0.0304,865239.022729088,0.011557499994,0.1601003824220022,0.1704,0.1265266330474246,0.0114,415670.78880443453,0.024057499996,0.1601003824220022,0.1567,0.9821029082774049,0.0,0.2377,1280819.725115909,0.007807499997,0.1601003824220022,0.3378,0.0,0.3215,970167.3543391547,0.010307499995,0.1601003824220022,0.2462,0.0,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.15715,0.0,0.14386090504742613,0.03150912106135987,1879283.4890965733,0.001284,0.294568632392333,0.2413,0.05616658829322869,0.04021937842778794,852024.9221183801,0.001284,0.294568632392333,0.1094,-2.616181931918863,0.0,0.2651006711409396,1859034.2679127727,0.001284,0.294568632392333,0.2387,0.0,0.241635687732342,838006.230529595,0.001284,0.294568632392333,0.1076,-1.356664574749585
0.9,0.29518575021743026,0.0121,1280819.725115909,0.007807499997,0.1601003824220022,0.3639,0.12857128948162866,0.0248,865239.022729088,0.011557499994,0.1601003824220022,0.1934,0.13889626848859818,0.0139,524727.797537672,0.019057499997,0.1601003824220022,0.1779,0.973404255319149,0.0,0.2296,1280819.725115909,0.007807499997,0.1601003824220022,0.3849,0.0,0.3204,1104057.4114729483,0.009057499996,0.1601003824220022,0.2736,0.0,0.0113,524727.797537672,0.019057499997,0.1601003824220022,0.1799,0.0,0.19000044686078188,0.02796271637816245,2341900.3115264797,0.001284,0.294568632392333,0.3007,0.08588701249116926,0.02744807121661721,1049844.2367601246,0.001284,0.294568632392333,0.1348,-2.7301594768431685,0.0,0.2601078167115903,2313084.112149533,0.001284,0.294568632392333,0.297,0.0,0.25960061443932414,1014018.691588785,0.001284,0.294568632392333,0.1302,-1.5005331383992184
1.0,0.35946348160250624,0.0074,1280819.725115909,0.007807499997,0.1601003824220022,0.4113,0.15610767009141235,0.0173,970167.3543391547,0.010307499995,0.1601003824220022,0.2087,0.15881203682521844,0.0109,524727.797537672,0.019057499997,0.1601003824220022,0.1937,0.9894039735099338,0.0,0.2306,1280819.725115909,0.007807499997,0.1601003824220022,0.4182,0.0,0.3091,1104057.4114729483,0.009057499996,0.1601003824220022,0.2969,0.0,0.0118,524727.797537672,0.019057499997,0.1601003824220022,0.1931,0.03884892086330935,0.27145589317762453,0.01756311745334797,2838006.230529595,0.001284,0.294568632392333,0.3644,0.13224758445260854,0.012750455373406194,1282710.2803738317,0.001284,0.294568632392333,0.1647,-2.6540441076726347,0.0,0.2253052164261931,2806853.5825545173,0.001284,0.294568632392333,0.3604,0.0,0.2652037617554859,1242211.8380062305,0.001284,0.294568632392333,0.1595,-1.4649559818868938
