f_ec,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
1.0,0.18211126758798893,0.0247,1104057.4114729483,0.009057499996,0.1601003824220022,0.2735,0.07898707522281569,0.0381,780792.5048187037,0.012807499993,0.1601003824220022,0.1482,0.10376994733328353,0.014,415670.78880443453,0.024057499996,0.1601003824220022,0.1298,0.9887260428410372,0.0,0.2326,1104057.4114729483,0.009057499996,0.1601003824220022,0.2837,0.0,0.3178,970167.3543391547,0.010307499995,0.1601003824220022,0.2027,0.0,0.0137,415670.78880443453,0.024057499996,0.1601003824220022,0.1306,0.05194805194805195,0.05702064253180199,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.05,0.18496483068727443,0.0233,1104057.4114729483,0.009057499996,0.1601003824220022,0.2749,0.06911170366273765,0.042,780792.5048187037,0.012807499993,0.1601003824220022,0.1426,0.10120712714316295,0.014,415670.78880443453,0.024057499996,0.1601003824220022,0.13185,0.9676674364896074,0.0,0.2395,1104057.4114729483,0.009057499996,0.1601003824220022,0.2757,0.0,0.3181,970167.3543391547,0.010307499995,0.1601003824220022,0.2019,0.0,0.0108,415670.78880443453,0.024057499996,0.1601003824220022,0.12885,0.0,0.054763658595097034,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.035543166225749344,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.1,0.19459024667936511,0.0195,1104057.4114729483,0.009057499996,0.1601003824220022,0.2745,0.06322331410275286,0.0457,780792.5048187037,0.012807499993,0.1601003824220022,0.1445,0.10530069306994962,0.0109,415670.78880443453,0.024057499996,0.1601003824220022,0.1299,0.9889380530973452,0.0,0.2378,1104057.4114729483,0.009057499996,0.1601003824220022,0.2796,0.0,0.3184,970167.3543391547,0.010307499995,0.1601003824220022,0.2095,0.0,0.0131,415670.78880443453,0.024057499996,0.1601003824220022,0.13435,0.0,0.052506674658392094,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.034251536133694443,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.11,0.18051927758417147,0.0232,1104057.4114729483,0.009057499996,0.1601003824220022,0.2717,0.06539385390556317,0.044,780792.5048187037,0.012807499993,0.1601003824220022,0.1451,0.1043012629482604,0.0123,415670.78880443453,0.024057499996,0.1601003824220022,0.1304,0.9889867841409692,0.0,0.2345,1104057.4114729483,0.009057499996,0.1601003824220022,0.2766,0.0,0.32,970167.3543391547,0.010307499995,0.1601003824220022,0.2057,0.0,0.0115,415670.78880443453,0.024057499996,0.1601003824220022,0.12615,0.0,0.05205527787105111,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03399321011528346,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.12,0.18932444938447476,0.022,1104057.4114729483,0.009057499996,0.1601003824220022,0.2798,0.0656936830709862,0.0426,780792.5048187037,0.012807499993,0.1601003824220022,0.1424,0.10130764811444158,0.0147,415670.78880443453,0.024057499996,0.1601003824220022,0.13235,0.9756637168141593,0.0,0.2321,1104057.4114729483,0.009057499996,0.1601003824220022,0.277,0.0,0.3223,970167.3543391547,0.010307499995,0.1601003824220022,0.2057,0.0,0.0134,415670.78880443453,0.024057499996,0.1601003824220022,0.13155,0.011891891891891892,0.051603881083710106,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03373488409687248,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.13,0.17709431615578264,0.0249,1104057.4114729483,0.009057499996,0.1601003824220022,0.2759,0.06719291624669603,0.041,780792.5048187037,0.012807499993,0.1601003824220022,0.1417,0.10387999225348896,0.0096,415670.78880443453,0.024057499996,0.1601003824220022,0.1296,0.9761129207383279,0.0,0.2338,1104057.4114729483,0.009057499996,0.1601003824220022,0.285,0.0,0.319,970167.3543391547,0.010307499995,0.1601003824220022,0.2044,0.0,0.0116,415670.78880443453,0.024057499996,0.1601003824220022,0.12925,0.007391763463569166,0.051152484296369136,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03347655807846151,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.14,0.1802921281783284,0.0233,1104057.4114729483,0.009057499996,0.1601003824220022,0.2738,0.06994149606601055,0.0414,780792.5048187037,0.012807499993,0.1601003824220022,0.1495,0.10308266151849767,0.012,415670.78880443453,0.024057499996,0.1601003824220022,0.13135,0.9775967413441955,0.0,0.2378,1104057.4114729483,0.009057499996,0.1601003824220022,0.2759,0.0,0.3129,970167.3543391547,0.010307499995,0.1601003824220022,0.2051,0.0,0.0122,415670.78880443453,0.024057499996,0.1601003824220022,0.1352,0.02367531003382187,0.050701087509028145,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03321823206005053,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.15,0.18762483952561376,0.0212,1104057.4114729483,0.009057499996,0.1601003824220022,0.2753,0.0604517550390661,0.0465,780792.5048187037,0.012807499993,0.1601003824220022,0.1451,0.10452061910272738,0.013,415670.78880443453,0.024057499996,0.1601003824220022,0.1335,0.9826086956521739,0.0,0.2432,1104057.4114729483,0.009057499996,0.1601003824220022,0.2792,0.0,0.3237,970167.3543391547,0.010307499995,0.1601003824220022,0.207,0.0,0.0124,415670.78880443453,0.024057499996,0.1601003824220022,0.1307,0.0021645021645021645,0.050249690721687154,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03295990604163955,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.16,0.18914659635259007,0.0216,1104057.4114729483,0.009057499996,0.1601003824220022,0.2801,0.06600595121335134,0.0426,780792.5048187037,0.012807499993,0.1601003824220022,0.1463,0.09991517720528151,0.0125,415670.78880443453,0.024057499996,0.1601003824220022,0.1288,0.974816369359916,0.0,0.2314,1104057.4114729483,0.009057499996,0.1601003824220022,0.2693,0.0,0.3185,970167.3543391547,0.010307499995,0.1601003824220022,0.2049,0.0,0.012,415670.78880443453,0.024057499996,0.1601003824220022,0.13045,0.0273109243697479,0.04979829393434615,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03270158002322857,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
1.17,0.1859266686083479,0.0222,1104057.4114729483,0.009057499996,0.1601003824220022,0.2789,0.06455308009703435,0.0454,780792.5048187037,0.012807499993,0.1601003824220022,0.1531,0.10394515681715209,0.012,415670.78880443453,0.024057499996,0.1601003824220022,0.13285,0.9779492833517089,0.0,0.2425,1104057.4114729483,0.009057499996,0.1601003824220022,0.2827,0.0,0.3154,970167.3543391547,0.010307499995,0.1601003824220022,0.2145,0.0,0.0126,415670.78880443453,0.024057499996,0.1601003824220022,0.1297,0.0,0.049346897147005166,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.0324432540048176,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
