interferometer_phase_error,global_seed,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve
0.0,20260805,0.0874888718,0.0009904711589090788,0.00044295216821473927,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,330995.15066020004,9911.743990246418,4432.666667553201,0.028111499996,0.1597065680820472,0.131582,0.0014896543223177708,0.0006661936655357834,1.0,0.0,0.0,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13192399999999999,0.0012029879467392746,0.0005379925650043828,0.018089634103331025,0.013179842474262425,0.00589420474103796,25,5
0.01,20260805,0.08810057980000001,0.0005249005453152087,0.00023474266015030307,8.000000000000001e-06,1.788854381999832e-05,8.000000000000001e-06,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,326562.4839926468,12139.357618600705,5428.885767674228,0.028111499996,0.1597065680820472,0.13250199999999998,0.0007894428415027871,0.0003530495715901648,1.0,0.0,0.0,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.131912,0.0012467036536402646,0.0005575428234673969,0.006206092288307294,0.006833206958050249,0.003055903052504982,25,5
0.1,20260805,0.0872783756,0.0007581665507026163,0.0003390623891275182,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,328541.9208071829,9847.48598444601,4403.929613739543,0.028111499996,0.1597065680820472,0.13226200000000002,0.0009212871430775595,0.00041201213574359953,0.9946744732758482,0.0018133263795385274,0.0008109442100083462,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.132426,0.001436551426159186,0.0006424453284132419,0.012258824365730645,0.0067057029962968055,0.0029988815473287354,25,5
0.2,20260805,0.08542663320000002,0.0008438884802482566,0.00037739840145281807,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,322695.0631499438,11836.577172906293,5293.47823590815,0.028111499996,0.1597065680820472,0.13181199999999998,0.0015039514619827358,0.0006725875407707176,0.9822206317679321,0.0066325221859903005,0.002966154094029963,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.131264,0.000696548634339344,0.0003115060192034835,0.014559116135782002,0.017181291025996342,0.007683706935066985,25,5
0.3,20260805,0.0823531612,0.0008070691080804027,0.000360932277641581,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,3.2000000000000005e-05,4.38178046004133e-05,1.9595917942265427e-05,496467.49117688695,18257.418587156997,8164.965810910243,302441.3607110336,11162.114641534976,4991.84942222358,0.028111499996,0.1597065680820472,0.13191199999999997,0.001241841374733506,0.0005553683462351818,0.957381939739091,0.00558057035101556,0.002495706931618131,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,0.0,0.0,0.0,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13232000000000002,0.0012152983172867553,0.0005434979300788585,0.012150445592328085,0.010492422775197421,0.004692354114801686,25,5
0.4,20260805,0.0785665064,0.0008704108560262272,0.00038925956848568526,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,516467.49118088686,0.0,0.0,300719.03888519923,2987.1192202245556,1335.8803266636542,0.028111499996,0.1597065680820472,0.1317,0.0010663254662625372,0.00047687524574043834,0.9276752787041008,0.006584123355444239,0.0029445094790034655,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509800.8245128868,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13141200000000003,0.0017359493080156396,0.0007763401316433381,0.017270345587382944,0.013697732295451454,0.006125812110044737,25,5
0.5,20260805,0.0738094826,0.0016088594456217388,0.0007195038173305669,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,516467.49118088686,0.0,0.0,281632.8278647133,3918.208667314145,1752.276186028657,0.028111499996,0.1597065680820472,0.13215800000000003,0.001344105650609362,0.000601102320740823,0.8874347071461486,0.008552901116897384,0.003824973660443285,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13195600000000002,0.00107360607300816,0.00048013123206056956,0.02253028585542132,0.026923653942939964,0.0120406240838188,25,5
0.6,20260805,0.0675770394,0.001083953682097308,0.0004847588235261555,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980002,6666.666667999991,252653.13613154134,9473.392361067146,4236.629859374674,0.028111499996,0.1597065680820472,0.13313,0.0008368691654016149,0.00037425926842230516,0.8338415336503979,0.009209513037206385,0.004118619438172805,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13139399999999998,0.0004777342357420036,0.00021364924525960595,0.0028988851158575236,0.0035043708543552737,0.0015672022897414814,25,5
0.7,20260805,0.059794072600000005,0.002460555917933241,0.001100394058987624,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,224287.76668654918,14895.0163813343,6661.253830927285,0.028111499996,0.1597065680820472,0.13110799999999997,0.0011651695155641512,0.0005210796484223883,0.7790871817910416,0.016691173065174685,0.007464519519588824,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.132042,0.0010816515150453847,0.0004837292631214233,0.015198375988058968,0.019193645016079217,0.008583658998390633,25,5
0.8,20260805,0.0539464936,0.0012394786662800197,0.0005543117108925801,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980002,6666.666667999991,203687.14746982732,7000.563335261614,3130.7470996875236,0.028111499996,0.1597065680820472,0.131878,0.0013532257756930207,0.0006051809646708953,0.7297270176012437,0.014033875929881482,0.006276140113402613,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13179400000000002,0.0007929880200860439,0.00035463502365107254,0.012731609328868982,0.01656475693830926,0.007407984508964158,25,5
