keysize,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
20,0.10680152144202187,0.05,4917.025204589576,0.004067499996,0.1601003824220022,0.25,0.015502203205359388,0.1,4901.9607951268745,0.004079999991,0.1601003824220022,0.25,0.11499372609862486,0.0,4881.025020018084,0.004097499996,0.1601003824220022,0.125,1.0,0.0,0.2,4917.025204589576,0.004067499996,0.1601003824220022,0.25,0.0,0.4,4914.004920041775,0.004069999995,0.1601003824220022,0.3,0.0,0.0,4881.025020018084,0.004097499996,0.1601003824220022,0.1,0.0,0.0,0.15,102485.25566404877,0.000195150023,0.16012326230365437,0.15,0.1,0.0,51242.62770073405,0.000390300047,0.16012326230365437,0.1,-1.375,0.0,0.15,68323.50365932999,0.000292725035,0.16012326230365437,0.3,0.0,0.35,61491.15327239054,0.00032525003899999997,0.16012326230365437,0.05,-1.4333333333333331
45,0.2,0.0,11014.226722979014,0.004085624995,0.1601003824220022,0.2,0.07394762056442859,0.044444444444444446,10983.981712131288,0.004096874993,0.1601003824220022,0.15555555555555556,0.11067443522203423,0.022222222222222223,10849.909594550847,0.004147499996,0.1601003824220022,0.14444444444444443,1.0,0.0,0.17777777777777778,11029.411775519031,0.004079999996,0.1601003824220022,0.2222222222222222,0.0,0.26666666666666666,11014.226722979014,0.004085624995,0.1601003824220022,0.24444444444444444,0.0,0.0,10849.909594550847,0.004147499996,0.1601003824220022,0.15555555555555556,0.0070921985815602835,0.13333333333333333,0.0,210378.6590055673,0.00021390002299999998,0.16012326230365437,0.13333333333333333,0.07394762056442859,0.044444444444444446,114751.9955773663,0.000392150043,0.16012326230365437,0.15555555555555556,-2.5757575757575757,0.0,0.26666666666666666,210378.6590055673,0.00021390002299999998,0.16012326230365437,0.13333333333333333,0.0,0.28888888888888886,105189.3292568993,0.00042780004699999996,0.16012326230365437,0.1111111111111111,-1.0357142857142856
50,0.12423965820877708,0.06,12247.39744004644,0.004082499996,0.1601003824220022,0.36,0.041413219402925694,0.06,12154.360403376297,0.004113749991,0.1601003824220022,0.12,0.1768356775920067,0.0,12026.458219628583,0.004157499996,0.1601003824220022,0.2,0.9716312056737588,0.0,0.2,12247.39744004644,0.004082499996,0.1601003824220022,0.3,0.0,0.44,12247.39744004644,0.004082499996,0.1601003824220022,0.18,0.0,0.0,12026.458219628583,0.004157499996,0.1601003824220022,0.12,0.0,0.023476994351454533,0.08,196908.51504763254,0.000253925027,0.16012326230365437,0.12,0.05154156218351705,0.04,125305.41848723014,0.000399025043,0.16012326230365437,0.1,-2.281385281385281,0.0,0.22,229726.6010396884,0.000217650023,0.16012326230365437,0.18,0.0,0.24,125305.41848723014,0.000399025043,0.16012326230365437,0.16,-1.9999999999999998
100,0.22637170661620798,0.01,24345.70909248517,0.004107499996,0.1601003824220022,0.27,0.042904431711928544,0.07,23980.81539947898,0.004169999991,0.1601003824220022,0.16,0.11804696075603952,0.01,23487.962441327505,0.004257499996,0.1601003824220022,0.15,0.9586206896551724,0.0,0.26,24345.70909248517,0.004107499996,0.1601003824220022,0.39,0.0,0.36,24345.70909248517,0.004107499996,0.1601003824220022,0.27,0.0,0.0,23487.962441327505,0.004257499996,0.1601003824220022,0.195,0.05263157894736842,0.08246649949362726,0.04,335936.81340289256,0.000297675027,0.16012326230365437,0.16,0.030924937310110225,0.04,195963.1408773905,0.000510300047,0.16012326230365437,0.06,-2.013852813852814,0.0,0.27,391926.2825228121,0.000255150023,0.16012326230365437,0.18,0.0,0.26,180889.05309032387,0.000552825051,0.16012326230365437,0.08,-1.2794261294261295
200,0.19549005041696452,0.025,48105.83287851433,0.004157499996,0.1601003824220022,0.295,0.08504357760280312,0.04,46975.92492678976,0.004257499992,0.1601003824220022,0.165,0.1271952830436155,0.015,44868.19970375161,0.004457499996,0.1601003824220022,0.1575,1.0,0.0,0.265,48105.83287851433,0.004157499996,0.1601003824220022,0.31,0.0,0.315,47818.29055327948,0.004182499995,0.1601003824220022,0.165,0.0,0.025,44868.19970375161,0.004457499996,0.1601003824220022,0.125,0.0,0.07048900415173444,0.05,454338.9048511903,0.000440200031,0.16012326230365437,0.165,0.03968766859447046,0.06,330428.2942325114,0.000605275043,0.16012326230365437,0.115,-2.345676797949525,0.0,0.255,454338.9048511903,0.000440200031,0.16012326230365437,0.135,0.0,0.27,302892.60300476704,0.000660300047,0.16012326230365437,0.1,-1.1538128538128536
400,0.2004601364445145,0.025,93951.84976531002,0.004257499996,0.1601003824220022,0.3025,0.08187654931845073,0.0475,90754.39606018849,0.0044074999929999996,0.1601003824220022,0.1825,0.10216317067172509,0.015,82346.88632617345,0.004857499996,0.1601003824220022,0.12875,0.9888268156424581,0.0,0.245,93951.84976531002,0.004257499996,0.1601003824220022,0.26,0.0,0.32,92861.28855816748,0.004307499995,0.1601003824220022,0.22,0.0,0.01,82346.88632617345,0.004857499996,0.1601003824220022,0.1325,0.1375,0.06396915296780493,0.0525,714062.5353154131,0.000560175027,0.16012326230365437,0.1575,0.02726041891177054,0.0675,384495.21100689133,0.001040325051,0.16012326230365437,0.095,-2.4302812630640687,0.0,0.2525,624804.7182615647,0.0006402000309999999,0.16012326230365437,0.155,0.0,0.2975,384495.21100689133,0.001040325051,0.16012326230365437,0.09,-1.4222227851360048
800,0.18830282935330017,0.01875,179472.79881500645,0.004457499996,0.1601003824220022,0.2575,0.0660535807030387,0.04625,168155.54412550473,0.004757499993,0.1601003824220022,0.14375,0.1054475415993361,0.0125,141405.21441725513,0.005657499996,0.1601003824220022,0.128125,1.0,0.0,0.22125,179472.79881500645,0.004457499996,0.1601003824220022,0.2625,0.0,0.325,175534.83288594056,0.0045574999949999995,0.1601003824220022,0.19125,0.0,0.00875,141405.21441725513,0.005657499996,0.1601003824220022,0.135625,0.004975124378109453,0.06732308768722393,0.04875,878951.8238451955,0.0009101750269999999,0.16012326230365437,0.15375,0.0437422660742408,0.0475,559332.9785871122,0.001430275043,0.16012326230365437,0.0975,-2.551849781023124,0.0,0.2475,878951.8238451955,0.0009101750269999999,0.16012326230365437,0.155,0.0,0.255,559332.9785871122,0.001430275043,0.16012326230365437,0.105,-1.3385276372470198
1600,0.1985707886711423,0.02375,329387.5453046938,0.004857499996,0.1601003824220022,0.29375,0.06343928049211525,0.048125,293174.53083870304,0.005457499993,0.1601003824220022,0.143125,0.11360419946497724,0.0125,220461.59157862162,0.007257499996,0.1601003824220022,0.1415625,0.983739837398374,0.0,0.246875,329387.5453046938,0.004857499996,0.1601003824220022,0.28125,0.0,0.30375,304327.152035371,0.005257499994,0.1601003824220022,0.2125,0.0,0.0175,220461.59157862162,0.007257499996,0.1601003824220022,0.1328125,0.008,0.05776498360711179,0.055625,993680.7944295611,0.001610175027,0.16012326230365437,0.151875,0.04054949123969428,0.049375,579647.1299339148,0.002760300047,0.16012326230365437,0.09375,-2.5953841578805443,0.0,0.253125,993680.7944295611,0.001610175027,0.16012326230365437,0.159375,0.0,0.264375,579647.1299339148,0.002760300047,0.16012326230365437,0.095,-1.3306880495343723
5000,0.19736679259977072,0.0224,762485.7038581689,0.006557499996,0.1601003824220022,0.2858,0.06643035441656378,0.045,592943.9672873535,0.008432499993,0.1601003824220022,0.1412,0.09572757032171574,0.0124,355682.0203750829,0.014057499996,0.1601003824220022,0.1208,0.9752650176678446,0.0,0.2438,762485.7038581689,0.006557499996,0.1601003824220022,0.2864,0.0,0.3164,696136.4432273835,0.007182499995,0.1601003824220022,0.1992,0.0,0.0094,355682.0203750829,0.014057499996,0.1601003824220022,0.1291,0.0,0.06124784437470929,0.0498,1090470.9134454597,0.004585175027,0.16012326230365437,0.1428,0.041175021428375994,0.0498,636108.03278538,0.007860300047,0.16012326230365437,0.096,-2.535328114202816,0.0,0.2428,1090470.9134454597,0.004585175027,0.16012326230365437,0.1476,0.0,0.2506,636108.03278538,0.007860300047,0.16012326230365437,0.0826,-1.449778809529339
20000,0.19369198193373785,0.02245,1422728.0815003316,0.014057499996,0.1601003824220022,0.2807,0.0708591766498378,0.0424,927751.3629360668,0.021557499993,0.1601003824220022,0.14355,0.10693539438408478,0.012,453952.22156989865,0.044057499996,0.1601003824220022,0.133275,0.9811209439528024,0.0,0.2416,1422728.0815003316,0.014057499996,0.1601003824220022,0.27515,0.0,0.32105,1207911.8228017248,0.016557499995,0.1601003824220022,0.2052,0.0,0.0134,453952.22156989865,0.044057499996,0.1601003824220022,0.12985,0.015133876600698487,0.0602575937973027,0.05205,1129294.3163751375,0.017710175027,0.16012326230365437,0.147,0.03175551994216506,0.05785,658755.0178699985,0.030360300047,0.16012326230365437,0.08765,-2.501601574115222,0.0,0.2546,1129294.3163751375,0.017710175027,0.16012326230365437,0.1534,0.0,0.2491,658755.0178699985,0.030360300047,0.16012326230365437,0.08895,-1.3546246489677471
