num_rounds,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
20,0.05,0.0,27397.260273972603,3.65e-05,0.294568632392333,0.05,0.1,0.0,54794.520547945205,3.65e-05,0.294568632392333,0.1,-3.0,0.15,0.0,82191.78082191781,3.65e-05,0.294568632392333,0.15,0.0,0.5,109589.04109589041,3.65e-05,0.294568632392333,0.2,0.0
45,0.15555555555555556,0.0,176656.15141955836,3.9625e-05,0.294568632392333,0.15555555555555556,0.06666666666666667,0.0,75709.77917981072,3.9625e-05,0.294568632392333,0.06666666666666667,-2.0,0.13333333333333333,0.0,151419.55835962144,3.9625e-05,0.294568632392333,0.13333333333333333,0.0,0.3333333333333333,75709.77917981072,3.9625e-05,0.294568632392333,0.06666666666666667,-2.0
50,0.1,0.0,124223.60248447204,4.025e-05,0.294568632392333,0.1,0.0,0.3333333333333333,74534.16149068323,4.025e-05,0.294568632392333,0.06,-2.333333333333333,0.16,0.0,198757.76397515528,4.025e-05,0.294568632392333,0.16,0.0,0.25,99378.88198757764,4.025e-05,0.294568632392333,0.08,-3.333333333333333
100,0.0,0.2,473118.2795698925,4.65e-05,0.294568632392333,0.22,0.06,0.0,129032.25806451614,4.65e-05,0.294568632392333,0.06,-3.7142857142857144,0.17,0.0,365591.3978494624,4.65e-05,0.294568632392333,0.17,0.05,0.0,107526.88172043012,4.65e-05,0.294568632392333,0.05,-2.1666666666666665
200,0.175,0.0,593220.3389830509,5.9e-05,0.294568632392333,0.175,0.075,0.0,254237.28813559323,5.9e-05,0.294568632392333,0.075,-2.7619047619047614,0.0,0.14285714285714285,474576.2711864407,5.9e-05,0.294568632392333,0.14,0.014138336728196761,0.07692307692307693,220338.98305084746,5.9e-05,0.294568632392333,0.065,-1.2666666666666666
400,0.0,0.13333333333333333,726190.4761904762,8.4e-05,0.294568632392333,0.1525,0.04112244479456662,0.034482758620689655,345238.09523809527,8.4e-05,0.294568632392333,0.0725,-1.490778227620333,0.0,0.13333333333333333,726190.4761904762,8.4e-05,0.294568632392333,0.1525,0.0,0.1935483870967742,369047.61904761905,8.4e-05,0.294568632392333,0.0775,-1.3619909502262444
800,0.09126632246262427,0.03225806451612903,925373.1343283582,0.000134,0.294568632392333,0.155,0.016713950966963615,0.078125,477611.94029850746,0.000134,0.294568632392333,0.08,-3.0113899613899617,0.0,0.3333333333333333,992537.3134328357,0.000134,0.294568632392333,0.16625,0.0,0.27586206896551724,432835.82089552237,0.000134,0.294568632392333,0.0725,-1.7764656938044034
1600,0.07293311189510507,0.046875,1098290.5982905983,0.000234,0.294568632392333,0.160625,0.01704727049172499,0.07272727272727272,470085.4700854701,0.000234,0.294568632392333,0.06875,-2.094204895072783,0.0,0.36764705882352944,1162393.1623931625,0.000234,0.294568632392333,0.17,0.0,0.291044776119403,572649.5726495726,0.000234,0.294568632392333,0.08375,-1.3182061701209962
5000,0.0673902134516487,0.05504587155963303,1327769.3474962064,0.000659,0.294568632392333,0.175,0.016351761162725634,0.07772020725388601,585735.9635811837,0.000659,0.294568632392333,0.0772,-2.1525368765762543,0.0,0.2916666666666667,1315629.742033384,0.000659,0.294568632392333,0.1734,0.0,0.3225806451612903,564491.6540212444,0.000659,0.294568632392333,0.0744,-1.1990061077197214
20000,0.06219404575059578,0.057007125890736345,1329913.1807419101,0.002534,0.294568632392333,0.1685,0.019163026876942275,0.07222586999343401,601026.045777427,0.002534,0.294568632392333,0.07615,-2.4530027776983294,0.0,0.25524475524475526,1354775.0591949488,0.002534,0.294568632392333,0.17165,0.0,0.2687667560321716,588792.4230465668,0.002534,0.294568632392333,0.0746,-1.373403832110764
40000,0.056329317309685475,0.06127305175490779,1335915.7727453317,0.005034,0.294568632392333,0.168125,0.023537910520182784,0.06437768240343347,601708.3829956297,0.005034,0.294568632392333,0.075725,-2.4857736716100343,0.0,0.27578078962875663,1349026.618990862,0.005034,0.294568632392333,0.169775,0.0,0.2608121492241664,601708.3829956297,0.005034,0.294568632392333,0.075725,-1.4379546533475243
80000,0.05125994463793644,0.06580871599883006,1363065.5770380707,0.010034,0.294568632392333,0.1709625,0.02377474637799448,0.06475635421725758,615606.936416185,0.010034,0.294568632392333,0.0772125,-2.4828937459032456,0.0,0.25777126099706743,1359577.4367151684,0.010034,0.294568632392333,0.170525,0.0,0.26696756937479105,596173.011760016,0.010034,0.294568632392333,0.074775,-1.3648156328800456
100000,0.062107732372057176,0.057960893854748605,1371070.6877293761,0.012534,0.294568632392333,0.17185,0.023867982147326078,0.06485651782267404,619993.6173607787,0.012534,0.294568632392333,0.07771,-2.4959029892146525,0.0,0.2642219087917254,1357826.7113451413,0.012534,0.294568632392333,0.17019,0.0,0.26936248682824027,605712.4621030797,0.012534,0.294568632392333,0.07592,-1.3520238806471014
