distance,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,Visibility-COW+Eve
0,-0.9808887050642947,0.014510076441973595,2379435.208277845,0.004052499996,0.0,-1.8863762949257132,0.33592417061611385,3521647.0228782077,0.004049374997,0.0,-0.9199205230594757,0.0,1820236.0339624407,0.004052499998,0.0,0.16382488479262675,-1.6375439045658853,0.26247538677918425,2336151.355357494,0.004055624995,0.0,-2.1800703637435794,0.4034154727793696,2902392.241348295,0.004049374997,0.0,-0.9197848795228232,0.0,1817995.7527341703,0.004052499998,0.0,0.1697090817893978
100,-0.9848064907684294,0.015464788732394368,2329958.1355949743,0.004058124995,0.004594582648473011,-1.8717407746399337,0.33468498342018005,3532926.8387227855,0.0040518749969999995,0.004594582648473011,-0.9158306077866241,0.0,1816125.865600249,0.004054999998,0.004594582648473011,0.15413649330700022,-1.6519624563817428,0.26298295454545456,2314872.54371339,0.004054999996,0.004594582648473011,-2.190089505375107,0.40700460829493096,2878345.4890319975,0.0040518749969999995,0.004594582648473011,-0.9180522995896618,0.0,1836184.747508692,0.004054999998,0.004594582648473011,0.15735289507508074
200,-0.9835491848999733,0.014393186657203691,2325585.5692905355,0.0040574999959999995,0.009168055107232398,-1.8914500282937998,0.33711270983213437,3493848.9994912525,0.004054374997,0.009168055107232398,-0.9147986450844569,0.0,1834170.8131025513,0.004063749997,0.009168055107232398,0.17696949747640991,-1.6417455247890098,0.2613900709219858,2317222.2676839456,0.0040574999959999995,0.009168055107232398,-2.2201406642566424,0.40955017301038066,2878358.9561632215,0.004054374997,0.009168055107232398,-0.9202926789392635,4.184100418410042e-05,1792929.534319215,0.004057499998,0.009168055107232398,0.15627762625787645
300,-0.9849655519817325,0.015676824946846208,2330267.338440127,0.004056874997,0.013720514368789516,-1.8839103859150954,0.3362523900573614,3525306.814384053,0.004056874997,0.013720514368789516,-0.916059684923329,0.0,1801135.426259797,0.004059999998,0.013720514368789516,0.18456183263558965,-1.6569609608997014,0.2659568345323741,2282225.1020116187,0.004056874997,0.013720514368789516,-2.1792950247323146,0.40095738470519565,2834096.7401723173,0.004056874997,0.013720514368789516,-0.9196342723066249,0.0,1794360.1026006339,0.004059999998,0.013720514368789516,0.1603791335434404
400,-0.9843272061002472,0.014696211579699787,2305842.636211867,0.004065624995,0.01825205698001564,-1.8868115384905777,0.33597308986064395,3503063.504695294,0.004062499996,0.01825205698001564,-0.9220609379069776,0.0,1794154.193067081,0.004062499998,0.01825205698001564,0.169089170076987,-1.6497373880581652,0.26397132616487456,2309464.1024259524,0.004062499996,0.01825205698001564,-2.2003278677709304,0.4067363530778165,2855366.472320577,0.004059374997,0.01825205698001564,-0.9203584523916358,0.0,1770058.9908492898,0.004062499998,0.01825205698001564,0.16961365382504662
500,-0.9836253398850773,0.014747330960854092,2313741.7724682135,0.004064999996,0.02276277904418933,-1.8777964926482529,0.3342664092664093,3470081.298678689,0.004064999996,0.02276277904418933,-0.9172677502136467,0.0,1783810.6969731566,0.004064999998,0.02276277904418933,0.173822851498189,-1.6402238990059064,0.2600578871201158,2290750.138684476,0.004061874997,0.02276277904418933,-2.188885434922964,0.4019125364431487,2851860.672434723,0.004061874997,0.02276277904418933,-0.9163286982149834,0.0,1785154.651218526,0.004064999998,0.02276277904418933,0.17376483685341107
600,-0.9849366586968187,0.015608351331893448,2297204.237891961,0.004070624995,0.027252776223034902,-1.8751075168505094,0.3331645569620254,3451935.2904381487,0.004064374997,0.027252776223034902,-0.9240202588188879,0.0,1766494.8605472865,0.004067499998,0.027252776223034902,0.170529344434514,-1.6489344381090463,0.263012912482066,2303209.354635462,0.004067499996,0.027252776223034902,-2.1781460015185803,0.4035680751173709,2829190.743567914,0.004064374997,0.027252776223034902,-0.9220045260547396,4.232804232804233e-05,1792022.0770250824,0.004067499998,0.027252776223034902,0.15678065760383836
700,-0.9817528531407884,0.014261119081779055,2296855.5888773655,0.004069999996,0.03172214373875082,-1.8681075285282505,0.33174401563263317,3420228.814309167,0.004069999996,0.03172214373875082,-0.9200118033500666,0.0,1753030.4528083638,0.004069999998,0.03172214373875082,0.16160684886401053,-1.6501552559934385,0.26337926033357506,2275953.9377595866,0.004069999996,0.03172214373875082,-2.1782400218762956,0.4042789598108748,2814504.1397414636,0.004066874997,0.03172214373875082,-0.9185675128804379,0.0,1749956.6125289826,0.004069999998,0.03172214373875082,0.17679492607052702
800,-0.9853453773750203,0.015322230267921799,2270533.7707609353,0.004075624995,0.03617097637602951,-1.8856795737902823,0.3348126232741618,3400332.8485178784,0.004069374997,0.03617097637602951,-0.92006075523413,0.0,1751934.9296007114,0.004072499998,0.03617097637602951,0.1721874657008012,-1.6469631353662437,0.26246176256372905,2268045.2863321137,0.004075624995,0.03617097637602951,-2.1649222991310233,0.40379596678529067,2805856.6543392115,0.004072499996,0.03617097637602951,-0.9205095375050641,0.0,1758935.56550205,0.004072499998,0.03617097637602951,0.1771343901406463
900,-0.9829256009286825,0.014442013129102848,2259683.5696242093,0.004074999996,0.04059936848406687,-1.8721875599562003,0.3339156035328754,3410013.9173456244,0.0040718749969999996,0.04059936848406687,-0.9212834885948006,0.0,1752406.9788476566,0.004074999998,0.04059936848406687,0.17679904636426375,-1.6493716430711476,0.26376005852231166,2263411.3500733133,0.004074999996,0.04059936848406687,-2.1825364667787692,0.40530952380952384,2779210.8903201246,0.004074999996,0.04059936848406687,-0.917905048824362,4.291845493562232e-05,1747290.8609367455,0.004074999998,0.04059936848406687,0.18032655750047052
1000,-0.9835569568219428,0.013654970760233918,2266295.93047511,0.004080624995,0.045007413978564004,-1.8832929183970606,0.33489151873767264,3387052.104192862,0.004074374997,0.045007413978564004,-0.9192926718762651,0.0,1752412.2525185563,0.0040774999979999995,0.045007413978564004,0.1604013739883305,-1.6374698689757106,0.2593777777777778,2223610.1914608604,0.0040774999959999995,0.045007413978564004,-2.1779528265742054,0.404228028503563,2799054.4177911743,0.0040774999959999995,0.045007413978564004,-0.9230286694715795,0.0,1738227.6298434904,0.0040774999979999995,0.045007413978564004,0.1720089089654307
1100,-0.9857472774678598,0.014308943089430894,2229182.023933668,0.0040831249949999995,0.04939520634371852,-1.8950925159670806,0.33705179282868536,3368662.828029721,0.004079999996,0.04939520634371852,-0.925022532101932,0.0,1723683.87465718,0.004079999998,0.04939520634371852,0.17212497647280256,-1.6475197186625583,0.2644771723122239,2237805.915495801,0.004079999996,0.04939520634371852,-2.196268213986148,0.4041891083183723,2771837.7875161343,0.004079999996,0.04939520634371852,-0.9235864899378441,0.0,1709759.3738702505,0.004086249997,0.04939520634371852,0.17198538176799047
1200,-0.985351075665148,0.01530973451327434,2236344.6051383493,0.004082499996,0.053762838634206944,-1.8834364024107053,0.3350300601202405,3341019.503522271,0.004079374997,0.053762838634206944,-0.9195801291639623,0.0,1730277.804618304,0.004082499998,0.053762838634206944,0.17480394002133132,-1.6508337594231928,0.26255952380952385,2217125.4472080334,0.004082499996,0.053762838634206944,-2.192589011459853,0.40424206111443983,2778514.6440857965,0.004082499996,0.053762838634206944,-0.9169153106816282,4.343105320304018e-05,1739589.7495536194,0.004088749997,0.053762838634206944,0.1691283957588305
1300,-0.9851888833977696,0.014794117647058827,2240355.353492489,0.004088124995,0.05811040347715868,-1.8805214546204059,0.33421026407573495,3357918.091615215,0.004084999996,0.05811040347715868,-0.9232993530798448,0.0,1710972.9975914313,0.004084999998,0.05811040347715868,0.18111393437480391,-1.6615386643928736,0.2673809523809524,2214305.1452517477,0.004088124995,0.05811040347715868,-2.204058195364517,0.4089480048367594,2749702.28536688,0.004081874997,0.05811040347715868,-0.9233075543560714,0.0,1713218.439908879,0.004084999998,0.05811040347715868,0.17409655561829473
1400,-0.985085749968689,0.015405204460966541,2226324.958917351,0.004090624995,0.06243799307411979,-1.8703434256522995,0.33252383341695935,3333337.471193283,0.004084374997,0.06243799307411979,-0.9217828171367414,0.0,1730031.605092502,0.004087499998,0.06243799307411979,0.1825130183825836,-1.649274535019454,0.2623698113207547,2184415.0185213774,0.004087499996,0.06243799307411979,-2.189438966922699,0.4031400966183576,2748037.699027171,0.004087499996,0.06243799307411979,-0.920617643887227,4.37636761487965e-05,1728305.2582945994,0.004093749997,0.06243799307411979,0.19869580902189599
1500,-0.9834569287586074,0.013952095808383235,2203726.4095628974,0.004089999996,0.06674569920300899,-1.8797002399765823,0.3350251762336355,3310309.611065444,0.004086874997,0.06674569920300899,-0.9249517192415391,0.0,1706296.9722954524,0.004096249997,0.06674569920300899,0.1803532216575695,-1.6472215097206653,0.2616842105263158,2190696.31011044,0.004089999996,0.06674569920300899,-2.182645761565636,0.4037956204379563,2730256.011030355,0.004089999996,0.06674569920300899,-0.9259355426152317,0.0,1709045.0490802156,0.004089999998,0.06674569920300899,0.1813358742706569
1600,-0.9856238784444238,0.015131876412961567,2185242.3178774267,0.004095624995,0.07103361322006363,-1.8748314161415034,0.3330707070707071,3327478.899844604,0.004089374997,0.07103361322006363,-0.9232867553099757,0.0,1690780.0751139596,0.004092499998,0.07103361322006363,0.18480426767082453,-1.6696423298921927,0.2691102661596958,2171839.488521296,0.004092499996,0.07103361322006363,-2.1576428465586575,0.4021156211562116,2703653.6585682333,0.004092499996,0.07103361322006363,-0.9259237072430557,4.4198895027624314e-05,1704011.4896126231,0.004092499998,0.07103361322006363,0.17233545147877932
1700,-0.9841187627160969,0.015026138909634055,2213312.9955067644,0.004094999996,0.07530182606177749,-1.8870288608128072,0.33530663963507357,3295020.201052823,0.004091874997,0.07530182606177749,-0.920241362577407,0.0,1679969.303969737,0.004101249997,0.07530182606177749,0.18055856279908997,-1.6420523863355834,0.2602894135567403,2170578.005907172,0.004094999996,0.07530182606177749,-2.1741671234268676,0.4041345565749236,2720412.3545278343,0.004091874997,0.07530182606177749,-0.9241412592303384,0.0,1700803.6000118442,0.004094999998,0.07530182606177749,0.1882050678591041
1800,-0.9859757206105735,0.014977307110438733,2186288.7237772853,0.004097499996,0.07955042824682867,-1.8827479232523219,0.3349063291139241,3314029.468558328,0.0040943749969999995,0.07955042824682867,-0.9234722097600319,0.0,1671341.0196768092,0.004103749997,0.07955042824682867,0.17625480505216912,-1.6388979240622674,0.2613089802130898,2167041.6489822753,0.004097499996,0.07955042824682867,-2.158357725637209,0.40256723716381426,2712555.5346514233,0.004097499996,0.07955042824682867,-0.922812830332975,0.0,1666394.1065163072,0.004103749997,0.07955042824682867,0.17822232682199735
1900,-0.9856125082716883,0.014792452830188681,2187074.4806802175,0.004103124995,0.0837795098780002,-1.8826223257688617,0.3345510835913313,3238325.478409029,0.004096874997,0.0837795098780002,-0.9231346487500509,0.0,1659874.166076133,0.0040999999979999995,0.0837795098780002,0.18513689495567584,-1.6599710893106627,0.2654878048780488,2165917.0711690886,0.0040999999959999995,0.0837795098780002,-2.17357742306995,0.4013167701863354,2672054.331802125,0.0040999999959999995,0.0837795098780002,-0.9252065104026947,0.0,1661838.6205273801,0.004106249997,0.0837795098780002,0.17908056797677885
2000,-0.98677205081224,0.014292272379495027,2154120.552083314,0.0041056249949999995,0.08798916064409024,-1.8855954946421696,0.33480719794344477,3268350.368145644,0.004099374997,0.08798916064409024,-0.9208928037100148,4.5045045045045046e-05,1677838.9982845767,0.004108749997,0.08798916064409024,0.18263434533615752,-1.6471028893366297,0.2609567901234568,2137233.487071268,0.004102499996,0.08798916064409024,-2.173363785931546,0.40156521739130446,2684890.7725252574,0.004102499996,0.08798916064409024,-0.9237427746610717,9.029345372460496e-05,1653870.0716923487,0.004102499998,0.08798916064409024,0.20901231662351927
2100,-0.9883552927749665,0.014785276073619633,2156870.6833615177,0.004104999996,0.09217946982181424,-1.8838429321231622,0.3344099378881988,3237823.3763925345,0.004101874997,0.09217946982181424,-0.923694070776305,0.0,1653323.6985889326,0.004111249997,0.09217946982181424,0.1790703694987056,-1.6492816534313186,0.26085073472544473,2131143.756129919,0.004104999996,0.09217946982181424,-2.206447704427353,0.40796504369538084,2665256.425981381,0.004101874997,0.09217946982181424,-0.9254946514551156,0.0,1654142.7744919164,0.004104999998,0.09217946982181424,0.1944243089877357
2200,-0.9865418422282146,0.014520123839009288,2127191.0062299394,0.004104374997,0.09635052627769858,-1.8739371380418979,0.331434533124674,3208907.0037548263,0.004104374997,0.09635052627769858,-0.924449736688825,4.514672686230248e-05,1658481.1435592417,0.004113749997,0.09635052627769858,0.19774251603519896,-1.6631853107421006,0.26536964980544747,2118738.0437524025,0.004107499996,0.09635052627769858,-2.1678824997424284,0.4012105926860025,2635818.048017466,0.004107499996,0.09635052627769858,-0.9236704908323149,4.545454545454546e-05,1662743.2868196093,0.004113749997,0.09635052627769858,0.19989327306400473
2300,-0.9867022652569226,0.014827321565617805,2152298.59968046,0.004109999996,0.10050241846996477,-1.8851165685655429,0.3344299843831338,3223672.4287736397,0.004106874997,0.10050241846996477,-0.9268733058751693,0.0,1640918.4488680887,0.004116249997,0.10050241846996477,0.1938051291709828,-1.6476450699525165,0.2607476635514019,2130401.502718895,0.004109999996,0.10050241846996477,-2.1790439230954832,0.40317180616740095,2641246.5473291106,0.004106874997,0.10050241846996477,-0.9253925054651368,0.0,1627155.5938065231,0.004109999998,0.10050241846996477,0.17876290925071414
2400,-0.98423421110219,0.013786707882534777,2135767.5032955203,0.004115624995,0.10463523445040623,-1.889351790152863,0.335080603224129,3212900.7076124945,0.004109374997,0.10463523445040623,-0.9230695039614335,0.0,1674169.3374702514,0.004118749997,0.10463523445040623,0.19075085538500172,-1.6600337952152315,0.2638557993730408,2101587.7623548424,0.004112499996,0.10463523445040623,-2.188159963149963,0.4021238938053098,2634138.693130081,0.004112499996,0.10463523445040623,-0.9271184652517495,0.0,1620955.605331638,0.004112499998,0.10463523445040623,0.18410658044804384
2500,-0.9853540683904194,0.013528505392912175,2146707.2531645433,0.004114999996,0.10874906186625444,-1.8979187572083973,0.33560209424083776,3182133.3463539192,0.004111874997,0.10874906186625444,-0.9247590200140614,0.0,1618854.6473472323,0.0041212499969999995,0.10874906186625444,0.1863216875411997,-1.6542312204886878,0.2633807266982623,2085117.9349326838,0.004111874997,0.10874906186625444,-2.196015469561456,0.407166454891995,2621690.4251325107,0.004114999996,0.10874906186625444,-0.9271078386826584,4.640371229698376e-05,1612863.578377524,0.004114999998,0.10874906186625444,0.18925981730859778
2600,-0.9839574877575261,0.013416342412451364,2113965.0086723627,0.004117499996,0.1128439879620391,-1.872652765288158,0.3324050632911393,3180594.9374335646,0.004117499996,0.1128439879620391,-0.928458629802243,9.248554913294798e-05,1636355.9442259707,0.004123749997,0.1128439879620391,0.19880089148381833,-1.6538959775854565,0.2647003154574133,2091067.4974619034,0.004117499996,0.1128439879620391,-2.186043403278113,0.40229738353541805,2603195.5181811354,0.004117499996,0.1128439879620391,-0.9240118433058991,4.608294930875576e-05,1615972.2942696956,0.004123749997,0.1128439879620391,0.20190068116897383
2700,-0.9884062424866613,0.015181102362204725,2092048.9419394939,0.0041199999959999995,0.11692009958143723,-1.876355977570975,0.3345724907063197,3149517.4209621823,0.004116874997,0.11692009958143723,-0.926856458852642,4.6565774155995343e-05,1599090.9422026633,0.0041199999979999995,0.11692009958143723,0.1920237310481213,-1.6469977742277058,0.2616233254531127,2093322.2703195873,0.004123124995,0.11692009958143723,-2.1852605764587025,0.4037813504823151,2600647.8212486077,0.0041199999959999995,0.11692009958143723,-0.9277789120380626,0.0,1622472.9460810835,0.004126249997,0.11692009958143723,0.21218884389616097
2800,-0.9867140202739372,0.014401268834258525,2087842.0392762667,0.004122499996,0.12097748316911572,-1.8819251864777458,0.3316969050160086,3132483.7855039565,0.004119374997,0.12097748316911572,-0.9266414415406413,0.0,1617608.9028213995,0.004128749997,0.12097748316911572,0.19355973183866357,-1.6566468506801015,0.26535657686212366,2084512.2983700954,0.0041256249949999995,0.12097748316911572,-2.1994803547649973,0.40162057877813506,2580754.993652604,0.004122499996,0.12097748316911572,-0.9258675839589504,9.345794392523364e-05,1612273.3885714563,0.004128749997,0.12097748316911572,0.2001318826244642
2900,-0.9861579122011411,0.013974763406940064,2098893.8358469056,0.004128124995,0.12501622477256402,-1.872917970070304,0.3305499199145756,3136718.9574450976,0.004124999996,0.12501622477256402,-0.9259161606384573,4.6783625730994155e-05,1611782.1624509115,0.004131249997,0.12501622477256402,0.19161446312781624,-1.6524322663961313,0.2635889328063241,2087679.717157955,0.004124999996,0.12501622477256402,-2.187132133224171,0.4027319587628866,2568303.69595778,0.004124999996,0.12501622477256402,-0.9274492653747486,4.634994206257242e-05,1613746.5608206464,0.004124999998,0.12501622477256402,0.2046064716687862
3000,-0.9891257371432977,0.014964483030781375,2096641.6750069093,0.004127499996,0.1290364100439193,-1.88974593414801,0.33416042780748667,3133266.2761866716,0.004124374997,0.1290364100439193,-0.9249805433626773,4.651162790697675e-05,1587053.5474591062,0.004133749997,0.1290364100439193,0.19801862057054936,-1.6344266145429995,0.25842732327243845,2074637.6469620161,0.004127499996,0.1290364100439193,-2.176874607896531,0.4014175257731959,2585056.276272943,0.004127499996,0.1290364100439193,-0.9267719601213735,9.334889148191365e-05,1615192.1625497455,0.004127499998,0.1290364100439193,0.20624558428712733
3100,-0.9869871730378684,0.013767885532591416,2080586.8920927295,0.004136249994,0.1330381242417834,-1.897788479797033,0.336824034334764,3124038.5819170424,0.004129999996,0.1330381242417834,-0.9258842209718068,0.0,1578318.370666374,0.004136249997,0.1330381242417834,0.21197933838883395,-1.6673989598406451,0.2665495207667732,2072727.2386037488,0.004129999996,0.1330381242417834,-2.1677674899225576,0.40132209980557354,2571964.1325555267,0.004129999996,0.1330381242417834,-0.9265796615826286,0.0,1595420.0857924062,0.004136249997,0.1330381242417834,0.19961377231406902
3200,-0.9884184389925096,0.014713375796178348,2075998.8081511988,0.004132499996,0.13702145223302975,-1.9068598552964364,0.3376216216216217,3092833.091066781,0.004129374997,0.13702145223302975,-0.9274955241405096,0.0,1570445.6539147454,0.004138749997,0.13702145223302975,0.20573689416419386,-1.6476004987599733,0.26133333333333336,2060070.5440129153,0.004129374997,0.13702145223302975,-2.201842848085729,0.40680183126226294,2533861.3185344525,0.004132499996,0.13702145223302975,-0.9302136131396994,0.0,1571344.9261777082,0.004138749997,0.13702145223302975,0.20390937779661816
3300,-0.9892332796166134,0.014659182036888534,2062013.3710755224,0.004138124995,0.14098647849460433,-1.8826878996788996,0.3339879978177851,3076418.1762781213,0.004134999996,0.14098647849460433,-0.928275380617124,0.0,1576647.5935399728,0.0041412499969999995,0.14098647849460433,0.21196520810764136,-1.6399781870876664,0.259837925445705,2043673.0690750573,0.004134999996,0.14098647849460433,-2.19162491081595,0.4036028928336621,2531935.535522851,0.004131874997,0.14098647849460433,-0.9249995119878061,0.0,1569737.358593664,0.004134999998,0.14098647849460433,0.21363886141334212
3400,-0.987001116675488,0.014551333872271624,2038793.6958053303,0.004137499996,0.14493328711531672,-1.8882630115463221,0.3354148471615721,3066816.5091439784,0.004134374997,0.14493328711531672,-0.9291076367024442,0.0,1563211.6703265659,0.004137499998,0.14493328711531672,0.2110747267244629,-1.6428009441663947,0.25926289926289925,2016214.0100407526,0.004137499996,0.14493328711531672,-2.1983074500632864,0.40345874587458747,2524185.217108637,0.004134374997,0.14493328711531672,-0.926226788862539,0.0,1572304.3085140754,0.004143749997,0.14493328711531672,0.19795462160237884
3500,-0.9938083352691385,0.016129554655870446,2035309.180927035,0.004143124995,0.14886196179762357,-1.8798160493333222,0.33318777292576424,3062449.693524848,0.0041368749969999995,0.14886196179762357,-0.9274221277847776,0.0,1557259.014369644,0.004146249997,0.14886196179762357,0.2227289860535243,-1.649744846226027,0.26099106417546714,2037775.8528891974,0.004143124995,0.14886196179762357,-2.186944543390297,0.4032074221338635,2507802.462743364,0.004139999996,0.14886196179762357,-0.9295320980076955,0.0,1542169.4569987613,0.004139999998,0.14886196179762357,0.2221274657620304
3600,-0.9912917574960274,0.015546558704453444,2040792.1215332525,0.0041424999959999995,0.15277258585940356,-1.8730051682035183,0.3317003827227994,3065285.855140294,0.0041424999959999995,0.15277258585940356,-0.9308054173982937,0.0,1542477.2604898443,0.0041424999979999995,0.15277258585940356,0.19428320140721195,-1.6563670496938365,0.2645850451930978,2011399.737418282,0.004145624995,0.15277258585940356,-2.216689772992341,0.4101265822784811,2491283.6478507514,0.0041424999959999995,0.15277258585940356,-0.9272247320208862,4.8134777376654636e-05,1556450.589362619,0.004148749997,0.15277258585940356,0.21090589270008797
3700,-0.9876042599991763,0.01486088379705401,2009622.9080300722,0.0041481249949999995,0.15666524223572464,-1.9025559453847871,0.33626592797783933,3020798.398619198,0.004144999996,0.15666524223572464,-0.9244748926510982,0.0,1566629.078218179,0.004151249997,0.15666524223572464,0.20979551451187337,-1.6587908317838358,0.2636544850498339,1987436.4316838365,0.004144999996,0.15666524223572464,-2.1983397843930375,0.40939130434782606,2487496.46915015,0.004144999996,0.15666524223572464,-0.9247399769982148,0.0,1538568.2261610178,0.004144999998,0.15666524223572464,0.19569905138836538
3800,-0.9880678712445765,0.014724732949876747,2010914.5413263012,0.004150624995,0.16054001348060254,-1.8912075500277055,0.33501661129568117,3029609.3273887667,0.004147499996,0.16054001348060254,-0.9301480994019854,0.0,1535464.83792789,0.004153749997,0.16054001348060254,0.2139244880010052,-1.6508069708962694,0.26124275062137536,1991791.6377652648,0.004150624995,0.16054001348060254,-2.1821792514154548,0.405427807486631,2481377.372288725,0.004147499996,0.16054001348060254,-0.9280193800686772,0.0,1545973.6300537211,0.004153749997,0.16054001348060254,0.21372973991707503
3900,-0.988696777493033,0.01453355155482815,2020596.3256395827,0.004156249994,0.16439698176875195,-1.8903260436266889,0.33620478575403456,3016364.9210709957,0.004146874997,0.16439698176875195,-0.9260546181062715,0.0,1523330.2226939807,0.004149999998,0.16439698176875195,0.22318287473300666,-1.6463079630513122,0.2603158769742311,1990196.8293498207,0.004153124995,0.16439698176875195,-2.19827701674043,0.4059878624409981,2464918.3145736787,0.004149999996,0.16439698176875195,-0.9286885851404133,4.8721071863581e-05,1534980.44870207,0.004156249997,0.16439698176875195,0.22154165096117606
4000,-0.9871759307433223,0.014041493775933611,1998077.1554809357,0.004158749994,0.16823622889732903,-1.8759041102519929,0.33286195286195286,2974340.2823917763,0.004152499996,0.16823622889732903,-0.932517449309414,0.0,1529163.9284594418,0.004158749997,0.16823622889732903,0.20713657494660134,-1.655227398286064,0.26439267886855244,1988532.7031168207,0.004152499996,0.16823622889732903,-2.198264337907459,0.4047837837837838,2456542.8205152336,0.004152499996,0.16823622889732903,-0.929882776033389,0.0,1527512.8869608587,0.004152499998,0.16823622889732903,0.21309366754617412
4100,-0.9888866239079936,0.014403973509933776,2000384.050472561,0.004154999996,0.1720578362876658,-1.8386993810999255,0.3245316881660124,2982991.805954253,0.004151874997,0.1720578362876658,-0.926843683167137,4.938271604938272e-05,1511359.2907730644,0.004161249997,0.1720578362876658,0.22404832602787075,-1.6472652339402065,0.2611026293469042,1957079.92485398,0.004154999996,0.1720578362876658,-2.174271405070521,0.4008469945355191,2439167.0033330214,0.004154999996,0.1720578362876658,-0.9287235457983948,0.0,1521566.2515076457,0.004154999998,0.1720578362876658,0.22243483998680305
4200,-0.9910360818522693,0.0146843853820598,1986004.6769281202,0.004160624995,0.17586188498699773,-1.8899260378090454,0.3335661971830986,2968717.9552951623,0.004154374997,0.17586188498699773,-0.9304693393483141,0.0,1517870.6042671509,0.0041637499969999995,0.17586188498699773,0.21892350473676772,-1.6652635661240291,0.2652489451476794,1960142.3301899259,0.004157499996,0.17586188498699773,-2.2079742462011804,0.4037551020408164,2442453.8518078076,0.004157499996,0.17586188498699773,-0.9300651973840064,0.0,1502886.9849793701,0.0041637499969999995,0.17586188498699773,0.23106471225903757
4300,-0.9924941453105315,0.015166666666666667,1979545.3202462054,0.004163124995,0.17964845567018173,-1.8822091214766223,0.33287173666288306,2944991.1131110946,0.0041568749969999996,0.17964845567018173,-0.9309329926674661,0.0,1512836.8841518105,0.004166249997,0.17964845567018173,0.21654490895665424,-1.6612706761814897,0.26497051390058973,1956871.7341201215,0.004163124995,0.17964845567018173,-2.1576925002230314,0.40127804214819857,2454532.079415589,0.004159999996,0.17964845567018173,-0.9323460586920205,0.0,1501230.6908583746,0.004166249997,0.17964845567018173,0.21625897472152836
4400,-0.9902414973637593,0.0145240101095198,1962391.8515971052,0.004165624995,0.18341762864140754,-1.9067795516797976,0.3392118789263278,2927778.974496251,0.004159374997,0.18341762864140754,-0.9286421198674828,0.0,1490250.6631406518,0.004168749997,0.18341762864140754,0.22870182715118376,-1.6459001639902529,0.26129914529914533,1931515.7190808663,0.004165624995,0.18341762864140754,-2.165836591186113,0.4015724137931035,2412011.4820599593,0.0041624999959999995,0.18341762864140754,-0.9300749189198068,0.0,1502193.491541155,0.004168749997,0.18341762864140754,0.2224128450456395
4500,-0.9948320884616195,0.016114864864864863,1951952.2836651085,0.004164999996,0.1871694838359007,-1.88135910124193,0.3331805157593123,2915992.9141527037,0.004161874997,0.1871694838359007,-0.9325459605558876,0.0,1504422.9885436057,0.004171249997,0.1871694838359007,0.238241347347253,-1.6550134513929653,0.2627008547008547,1924442.0466670094,0.0041681249949999995,0.1871694838359007,-2.2052327732566037,0.4062577532736044,2408366.9565715534,0.004164999996,0.1871694838359007,-0.9316178342842483,0.0,1505791.6709628128,0.004171249997,0.1871694838359007,0.2464229417710117
